date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:06	48032/48032	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:06%20GMT	https://aisw.kangwon.ac.kr/aisw/community/gallery.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/gallery.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:06	43245/43245	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:06%20GMT	https://aisw.kangwon.ac.kr/aisw/community/reference-room.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/reference-room.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:06	38043/38043	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:06%20GMT	https://aisw.kangwon.ac.kr/aisw/etc/login.do?referer=	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/etc/login9b66.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:07	38043/38043	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:06%20GMT	https://aisw.kangwon.ac.kr/aisw/etc/login.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/etc/login.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:07	1032286/1032286	---M--	200	added ('OK')	image/jpeg	etag:W/%221032286-1631602397000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/img/main/1.jpg	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/img/main/1.jpg	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:07	558783/558783	---M--	200	added ('OK')	image/jpeg	etag:W/%22558783-1631602493000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/img/main/2.jpg	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/img/main/2.jpg	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:07	40513/40513	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:07%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=373424	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/noticec2e2.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:08	44764/44764	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:07%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=370792	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/notice31fa.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:08	41075/41075	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:07%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=370775	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/noticef589.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:08	2553/2553	---M--	200	added ('OK')	image/png	etag:W/%222553-1608011218000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-footer-logo.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-footer-logo.png	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:09	137228/137228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222180c-9pHugMS50sWx8yT0tAFSsT1Io1c%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.eot?3ka2yj	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.eot	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
19:46:09	57300/57300	---M--	200	added ('OK')	font/woff2	etag:W/%22dfd4-2K21lCYL2tLwpQz2dMcFIZVyDkE%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.woff2?3ka2yj	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.woff2	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
19:46:09	137068/137068	---M-Z	200	added ('OK')	font/ttf	etag:W/%222176c-TSKGCzG6Go+sxMUOXllIXaYg4S4%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.ttf?3ka2yj	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.ttf	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
19:46:09	137144/137144	---M--	200	added ('OK')	font/woff	etag:W/%22217b8-Q7NwObQQcbsjd4y1Wq/QblQ3uiU%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.woff?3ka2yj	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.woff	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
19:46:09	550393/550393	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22865f9-XWCcqauTSNHLClqM7v+Z2WJ1Pwk%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.svg?3ka2yj	F:/JSP_Project2/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.svg	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
19:46:09	7208/7208	---M--	200	added ('OK')	text/css	etag:W/%227208-1606350101000%22	https://aisw.kangwon.ac.kr/_res/_common/_plugin/froala-editor/latest/css/froala_style.min.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/_plugin/froala-editor/latest/css/froala_style.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
19:46:10	3975/3975	---M--	200	added ('OK')	text/css	etag:W/%223975-1649405696000%22	https://aisw.kangwon.ac.kr/_res/_common/css/define.min.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/css/define.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
19:46:10	9110/9110	---M--	200	added ('OK')	text/css	etag:W/%229110-1649405697000%22	https://aisw.kangwon.ac.kr/_res/_common/css/row-col.min.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/css/row-col.min.css	(from https://aisw.kangwon.ac.kr/_res/_common/css/cms.css)
19:46:10	1931/1931	---M--	200	added ('OK')	text/css	etag:W/%221931-1645508351000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/font.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/font.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?07556)
19:46:11	2308/2308	---M--	200	added ('OK')	text/css	etag:W/%222308-1636609892000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/table.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/table.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?07556)
19:46:11	6310/6310	---M--	200	added ('OK')	text/css	etag:W/%226310-1638437536000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/css/sub-guide.css	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/css/sub-guide.css	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/cms-common.css?07556)
19:46:11	1324/1324	---M--	200	added ('OK')	image/png	etag:W/%221324-1609226602000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-prev.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-prev.png	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/main-visual-temp08.widget.css?26038)
19:46:11	1304/1304	---M--	200	added ('OK')	image/png	etag:W/%221304-1609226602000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-next.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/temp08/btn-vi-next.png	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/main-visual-temp08.widget.css?26038)
19:46:12	439/439	---M--	200	added ('OK')	image/png	etag:W/%22439-1608011218000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/btn-selected01.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/common/btn-selected01.png	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/footer-default.widget.css?14022)
19:46:12	3187/3187	---M--	200	added ('OK')	image/png	etag:W/%223187-1609908748000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/ico-m-login.png	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/img/common/ico-m-login.png	(from https://aisw.kangwon.ac.kr/_res/knu/_share/css/gnb-mobile.widget.css?23169)
